x_value,total_1,total_2
0,1000,1000
1,1000,1004
2,1000,1001
3,1000,999
4,1004,999
5,1010,1003
6,1007,998
7,1004,1001
8,1002,1003
9,1008,1003
10,1016,1003
11,1011,1000
12,1012,1003
13,1010,1009
14,1009,1015
15,1011,1021
16,1016,1027
17,1020,1026
18,1023,1029
19,1021,1032
20,1015,1029
21,1018,1034
22,1019,1034
23,1019,1029
24,1024,1035
25,1025,1036
26,1022,1042
27,1028,1048
28,1029,1048
29,1035,1048
30,1037,1052
31,1034,1055
32,1038,1060
33,1035,1066
34,1029,1063
35,1034,1062
36,1041,1058
37,1037,1061
38,1044,1057
39,1043,1054
40,1038,1058
41,1035,1060
42,1034,1062
43,1033,1064
44,1034,1064
45,1030,1069
46,1031,1066
47,1037,1066
48,1039,1069
49,1044,1065
50,1048,1071
51,1055,1068
52,1056,1066
53,1062,1061
54,1058,1058
55,1058,1062
56,1063,1061
57,1068,1066
58,1065,1061
59,1059,1056
60,1055,1054
61,1060,1052
62,1060,1049
63,1056,1045
64,1052,1046
65,1048,1041
66,1042,1047
67,1045,1053
68,1042,1054
69,1050,1060
70,1052,1066
71,1051,1065
72,1053,1071
73,1053,1069
74,1051,1075
75,1046,1080
76,1048,1080
77,1048,1075
78,1053,1076
79,1053,1082
80,1048,1080
81,1049,1079
82,1052,1083
83,1050,1089
84,1046,1084
85,1043,1082
86,1051,1077
87,1049,1078
88,1049,1082
89,1051,1077
90,1056,1083
91,1053,1078
92,1054,1082
